INFO 2025-12-16 10:10:55,428 autoreload Watching for file changes with StatReloader
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\magazin_muzica\magazin_muzica\__init__.py first seen with mtime 1759420597.547393
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1759405056.118453
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1759405058.4835436
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\commands\migrate.py first seen with mtime 1759405065.6975014
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\__init__.py first seen with mtime 1759405057.4494016
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1759405065.663488
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\text.py first seen with mtime 1759405066.3218472
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1759405065.7680123
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1759405065.6274946
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\hashable.py first seen with mtime 1759405066.3001666
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1759405066.3168485
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signals.py first seen with mtime 1759405065.5578527
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1759405063.2038395
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1759405060.8487957
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\base.py first seen with mtime 1759405066.3705373
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1759405066.2870739
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\socket.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\images.py first seen with mtime 1759405065.6154985
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1759405065.9225
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\magazin_muzica\Magazin_de_muzica\forms.py first seen with mtime 1765452412.9909146
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1759405066.2130084
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\shutil.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1727744620.0
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1759405065.9104843
DEBUG 2025-12-16 10:10:55,616 autoreload File C:\Users\grigo\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1759405056.126464
